Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D25_8,LED_RGBA,0606,122.28715,-40.09818,0.0,top
D26_1,LED_RGBA,0606,125.284949,-19.1,0.0,top
D26_2,LED_RGBA,0606,125.284949,-22.09974,0.0,top
D26_3,LED_RGBA,0606,125.284949,-25.09948,0.0,top
D26_4,LED_RGBA,0606,125.284949,-28.09922,0.0,top
D26_5,LED_RGBA,0606,125.284949,-31.09896,0.0,top
D26_6,LED_RGBA,0606,125.284949,-34.0987,0.0,top
D26_7,LED_RGBA,0606,125.284949,-37.09844,0.0,top
D26_8,LED_RGBA,0606,125.284949,-40.09818,0.0,top
D27_1,LED_RGBA,0606,128.286122,-19.1,0.0,top
D27_2,LED_RGBA,0606,128.286122,-22.09974,0.0,top
D27_3,LED_RGBA,0606,128.286122,-25.09948,0.0,top
D27_4,LED_RGBA,0606,128.286122,-28.09922,0.0,top
D27_5,LED_RGBA,0606,128.286122,-31.09896,0.0,top
D27_6,LED_RGBA,0606,128.286122,-34.0987,0.0,top
D27_7,LED_RGBA,0606,128.286122,-37.09844,0.0,top
D27_8,LED_RGBA,0606,128.286122,-40.09818,0.0,top
D28_1,LED_RGBA,0606,131.285608,-19.1,0.0,top
D28_2,LED_RGBA,0606,131.285608,-22.09974,0.0,top
D28_3,LED_RGBA,0606,131.285608,-25.09948,0.0,top
D28_4,LED_RGBA,0606,131.285608,-28.09922,0.0,top
D28_5,LED_RGBA,0606,131.285608,-31.09896,0.0,top
D28_6,LED_RGBA,0606,131.285608,-34.0987,0.0,top
D28_7,LED_RGBA,0606,131.285608,-37.09844,0.0,top
D28_8,LED_RGBA,0606,131.285608,-40.09818,0.0,top
D29_1,LED_RGBA,0606,134.285094,-19.1,0.0,top
D29_2,LED_RGBA,0606,134.285094,-22.09974,0.0,top
D29_3,LED_RGBA,0606,134.285094,-25.09948,0.0,top
D29_4,LED_RGBA,0606,134.285094,-28.09922,0.0,top
D29_5,LED_RGBA,0606,134.285094,-31.09896,0.0,top
D29_6,LED_RGBA,0606,134.285094,-34.0987,0.0,top
D29_7,LED_RGBA,0606,134.285094,-37.09844,0.0,top
D29_8,LED_RGBA,0606,134.285094,-40.09818,0.0,top
D30_1,LED_RGBA,0606,137.28458,-19.1,0.0,top
D30_2,LED_RGBA,0606,137.28458,-22.09974,0.0,top
D30_3,LED_RGBA,0606,137.28458,-25.09948,0.0,top
D30_4,LED_RGBA,0606,137.28458,-28.09922,0.0,top
D30_5,LED_RGBA,0606,137.28458,-31.09896,0.0,top
D30_6,LED_RGBA,0606,137.28458,-34.0987,0.0,top
D30_7,LED_RGBA,0606,137.28458,-37.09844,0.0,top
D30_8,LED_RGBA,0606,137.28458,-40.09818,0.0,top
D31_1,LED_RGBA,0606,140.284066,-19.1,0.0,top
D31_2,LED_RGBA,0606,140.284066,-22.09974,0.0,top
D31_3,LED_RGBA,0606,140.284066,-25.09948,0.0,top
D31_4,LED_RGBA,0606,140.284066,-28.09922,0.0,top
D31_5,LED_RGBA,0606,140.284066,-31.09896,0.0,top
D31_6,LED_RGBA,0606,140.284066,-34.0987,0.0,top
D31_7,LED_RGBA,0606,140.284066,-37.09844,0.0,top
D31_8,LED_RGBA,0606,140.284066,-40.09818,0.0,top
Q1,AO3401A,SOT-23,47.5,-44.0,-90.0,top
Q2,AO3401A,SOT-23,100.9,-44.1375,-90.0,top
Q3,AO3401A,SOT-23,60.5,-44.0625,-90.0,top
Q4,AO3401A,SOT-23,114.0,-44.0375,-90.0,top
Q5,AO3401A,SOT-23,73.5,-44.1375,-90.0,top
Q6,AO3401A,SOT-23,126.9,-44.0375,-90.0,top
Q7,AO3401A,SOT-23,139.8,-47.15,-90.0,top
Q8,AO3401A,SOT-23,139.8,-43.3,90.0,top
R1,10k,R_0402_1005Metric,48.25,-46.5,0.0,top
R2,10k,R_0402_1005Metric,99.45,-46.425,90.0,top
R3,10k,R_0402_1005Metric,59.25,-46.95,-90.0,top
R4,10k,R_0402_1005Metric,115.35,-46.85,-90.0,top
R5,10k,R_0402_1005Metric,72.3,-46.95,-90.0,top
R6,10k,R_0402_1005Metric,125.7,-46.95,-90.0,top
R7,10k,R_0402_1005Metric,137.15,-50.35,180.0,top
R8,10k,R_0402_1005Metric,137.15,-49.4,180.0,top
R9,510,R_0402_1005Metric,48.25,-47.75,180.0,top
